,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
658,R666,Delhi-NCR,22,3.0,Very poor,0.0,9.0,4.0,Increased,NO
659,R667,Delhi-NCR,21,1.0,Average,2.0,8.0,2.0,Decreased,NO
660,R668,Delhi-NCR,30,2.0,Very poor,1.0,5.0,1.0,Remain Constant,NO
661,R669,Delhi-NCR,21,2.0,Very poor,0.0,6.0,3.0,Remain Constant,NO
662,R670,Delhi-NCR,22,3.0,Average,1.0,8.0,3.0,Decreased,NO
663,R671,Outside Delhi-NCR,21,4.0,Good,1.0,8.0,3.0,Increased,NO
664,R672,Outside Delhi-NCR,21,5.0,Very poor,0.5,9.0,1.5,Remain Constant,NO
666,R674,Delhi-NCR,22,1.0,Very poor,1.0,9.0,1.5,Remain Constant,YES
668,R676,Delhi-NCR,21,3.0,Excellent,0.0,7.0,0.5,Remain Constant,NO
669,R678,Outside Delhi-NCR,21,3.0,Average,1.0,7.0,2.0,Decreased,NO
670,R679,Outside Delhi-NCR,21,0.0,Very poor,1.0,8.0,1.0,Remain Constant,NO
671,R680,Outside Delhi-NCR,21,5.0,Good,2.0,8.0,1.0,Decreased,YES
